"";""
1;"Die Macher"
2;"Dragonmaster"
3;"Samurai"
5;"Acquire"
7;"Cathedral"
9;"El Caballero"
10;"Elfenland"
11;"Bohnanza"
12;"Ra"
13;"Catan"
14;"Basari"
15;"Cosmic Encounter"
16;"MarraCash"
17;"Button Men"
18;"Robo Rally"
19;"Wacky Wacky West"
20;"Full Metal Planète"
22;"Magic Realm"
23;"Divine Right"
24;"Twilight Imperium"
26;"Age of Renaissance"
27;"Supremacy"
28;"Illuminati:  Deluxe Edition"
30;"Dark Tower"
31;"Dark World"
34;"Arkham Horror"
36;"Federation & Empire"
41;"Can't Stop"
42;"Tigris & Euphrates"
44;"David & Goliath"
45;"Liar's Dice"
46;"Medici"
47;"Chinatown"
48;"Krieg und Frieden"
49;"Mamma Mia!"
50;"Lost Cities"
51;"Ricochet Robots"
52;"Mighty Empires"
54;"Tikal"
57;"Schoko & Co."
58;"Kings & Things"
59;"Giganten"
60;"Vinci"
61;"Fossil"
63;"Samurai"
64;"Joan of Arc"
66;"Löwenherz"
67;"Conquest"
68;"Successors (second edition)"
70;"Big City"
71;"Civilization"
72;"Verräter"
73;"Show Manager"
74;"Apples to Apples"
75;"Falling"
76;"Air Baron"
77;"EastFront"
82;"Bobby Lee"
84;"Rommel in the Desert"
85;"Quebec 1759"
88;"Torres"
89;"Blue vs. Gray"
90;"Star Wars: Episode 1 – Clash of the Lightsabers"
91;"Paths of Glory"
93;"El Grande"
94;"Union Pacific"
95;"Igel Ärgern"
97;"Conquest of the Empire"
98;"Axis & Allies"
99;"Fortress America"
101;"Detroit-Cleveland Grand Prix"
102;"Klunker"
103;"Titan"
105;"Colossal Arena"
106;"Mystery Rummy: Jack the Ripper"
108;"TAMSK"
109;"Wettstreit der Baumeister"
110;"Auf Achse"
111;"Rheinländer"
112;"Condottiere"
115;"I'm the Boss!"
116;"Guillotine"
117;"Ta Yü"
118;"Modern Art"
119;"Kingdoms"
120;"Hoity Toity"
121;"Dune"
122;"Quo Vadis?"
124;"Primordial Soup"
125;"Money!"
126;"The Really Nasty Horse Racing Game"
128;"Take it Easy!"
130;"Iron Dragon"
132;"Caesar & Cleopatra"
134;"Cape Horn"
135;"Kontor"
137;"Pass the Bomb"
140;"Pit"
141;"Andromeda"
142;"Vino"
145;"Metropolis"
146;"Buy Low Sell High"
147;"Crude: The Oil Game"
150;"PitchCar"
152;"Mü & More"
153;"Take 5!"
155;"Was sticht?"
156;"Wildlife Adventure"
157;"Eurorails"
162;"The Awful Green Things From Outer Space"
163;"Balderdash"
164;"James Ernest's Totally Renamed Spy Game"
165;"Black Box"
168;"Empire Builder"
169;"En Garde"
170;"Family Business"
171;"Chess"
172;"For Sale"
173;"Formula Dé"
175;"Raj"
176;"Give Me the Brain!"
181;"Risk"
182;"Knights of Charlemagne"
185;"Devil Bunny Needs a Ham"
188;"Go"
189;"Die Siedler von Nürnberg"
192;"Nicht die Bohne!"
193;"Fill or Bust"
194;"Groo: The Game"
196;"Kremlin"
199;"Manhattan"
200;"Entdecker"
201;"The Rose King"
202;"Targui"
204;"Stephensons Rocket"
210;"Don Pepe"
214;"Café International"
215;"Tichu"
216;"Atlanteon"
217;"A la carte"
218;"High-Bid"
220;"High Society"
221;"Ikusa"
222;"Space Beans"
223;"Expedition"
224;"History of the World"
225;"Icehouse"
227;"Knightmare Chess"
228;"Lunch Money"
229;"King of the Elves"
230;"Merchant of Venus"
232;"Serenissima (first edition)"
234;"Hannibal: Rome vs. Carthage"
235;"Blackbeard"
237;"Wooden Ships & Iron Men"
240;"Britannia"
242;"Junta"
243;"Advanced Squad Leader"
244;"Circus Maximus"
247;"Gloria Picktoria"
248;"Blood Royale"
249;"Lifeboats"
250;"Colonial Diplomacy"
254;"Empires in Arms"
256;"Mississippi Queen"
257;"Kill Doctor Lucky"
258;"Fluxx"
259;"Atlantic Storm"
263;"Manitou"
264;"Enemy in Sight"
265;"Intrigue"
267;"Tycoon"
270;"Svea Rike"
274;"Guerilla"
277;"Res Publica"
278;"Catan Card Game"
279;"The Very Clever Pipe Game"
283;"Advanced Third Reich"
286;"Machiavelli"
287;"Bazaar"
290;"Gold Digger"
293;"Bamboleo"
296;"Medieval Merchant"
299;"De Bellis Antiquitatis"
300;"Tutankhamen"
301;"Campanile"
302;"Forum Romanum"
310;"Wizard's Quest"
311;"Time Agent"
312;"Landlord!"
320;"Scrabble"
321;"The Mole in the Hole"
322;"Tonga Bonga"
327;"Loopin' Louie"
329;"Russian Front"
330;"Block Mania"
333;"Waterworks"
334;"Advance to Boardwalk"
335;"Breakthru"
336;"Jumpin"
337;"Circus Flohcati"
338;"Bargain Hunter"
339;"Quiddler"
340;"Frank's Zoo"
348;"Merchants of the Middle Ages"
349;"Halunken & Spelunken"
352;"Trumpet"
353;"Inkognito: The Card Game"
354;"Sticheln"
357;"Excape"
359;"Bucket Brigade"
360;"Quests of the Round Table"
361;"Hare & Tortoise"
363;"Katzenjammer Blues"
364;"Samarkand"
368;"Relationship Tightrope"
371;"Mystery Rummy: Murders in the Rue Morgue"
372;"Schotten Totten"
379;"Express"
380;"Polarity"
382;"Heimlich & Co."
384;"TurfMaster"
386;"Pirateer"
387;"Corruption"
